source,target,strength,month,weight
CUB,USA,2.59375,0,2.59375
EUR,ITA,2.58,0,2.58
SOM,IRN,-2.571428571,0,2.571428571
BFA,FRA,2.56,0,2.56
USA,EUR,2.56,0,2.56
ITA,IRN,2.533333333,0,2.533333333
IRN,FRA,2.523809524,0,2.523809524
USA,PHL,2.52,0,2.52
VAT,ITA,2.5,0,2.5
CHE,ISR,2.5,0,2.5
LKA,MDV,2.5,0,2.5
VNM,CHN,-2.5,0,2.5
DZA,MAR,2.5,0,2.5
CHE,CYP,2.5,0,2.5
SUR,COL,2.5,0,2.5
SGP,THA,2.5,0,2.5
CHE,USA,2.485714286,0,2.485714286
HUN,AUT,2.475,0,2.475
SAU,IRN,-2.4734375,0,2.4734375
TUR,GRC,2.461538462,0,2.461538462
IRN,SAU,-2.455633803,0,2.455633803
USA,LAO,2.45,0,2.45
EUR,IRQ,2.45,0,2.45
RUS,CHN,2.44,0,2.44
USA,IRN,2.428225806,0,2.428225806
USA,AFG,2.427272727,0,2.427272727
JPN,PRK,-2.414285714,0,2.414285714
MYS,CHN,2.411111111,0,2.411111111
KOR,USA,2.4,0,2.4
SGP,CYM,-2.4,0,2.4
PAK,AFG,2.394117647,0,2.394117647
EUR,GRC,2.3875,0,2.3875
CHE,DEU,2.363636364,0,2.363636364
BHS,USA,2.35,0,2.35
PAK,THA,2.35,0,2.35
PHL,KOR,2.35,0,2.35
TUR,WST,2.35,0,2.35
WST,TUR,2.35,0,2.35
CHN,JPN,2.35,0,2.35
EUR,BEL,2.35,0,2.35
THA,PAK,2.35,0,2.35
KOR,PHL,2.35,0,2.35
BEL,GRC,2.333333333,0,2.333333333
GBR,IRL,2.333333333,0,2.333333333
LBN,SYR,2.333333333,0,2.333333333
USA,DEU,2.313333333,0,2.313333333
AUS,IDN,2.3,0,2.3
IRN,BHR,2.3,0,2.3
AUS,SGP,-2.3,0,2.3
AFG,IRQ,2.266666667,0,2.266666667
USA,CHN,2.253125,0,2.253125
USA,PER,2.25,0,2.25
BDI,AFR,2.25,0,2.25
JOR,SAU,2.25,0,2.25
BEL,EUR,2.242857143,0,2.242857143
SYR,CAN,2.225,0,2.225
YEM,SYR,-2.2,0,2.2
UGA,AFR,-2.2,0,2.2
SAU,PAK,2.2,0,2.2
SYR,IRQ,2.2,0,2.2
COL,SUR,2.2,0,2.2
USA,PAK,2.190909091,0,2.190909091
EUR,UKR,2.166666667,0,2.166666667
GRC,EUR,2.16,0,2.16
JOR,USA,2.125,0,2.125
AUS,CHN,2.111111111,0,2.111111111
MEX,USA,-2.038181818,0,2.038181818
DEU,TUR,2.033333333,0,2.033333333
FRA,JOR,2.025,0,2.025
GBR,EUR,2.018181818,0,2.018181818
FRA,PRK,-2,0,2.0
FIN,SWE,-2,0,2.0
ESP,EUR,-2,0,2.0
IRQ,SEA,-2,0,2.0
AFR,SOM,-2,0,2.0
