Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
YEM,HUN,7,0
RUS,SLE,7,0
GHA,AGO,7,0
VNM,PSE,7,0
JPN,TUV,7,0
GNQ,CMR,7,0
MUS,SGP,7,0
KEN,PER,7,0
SYR,GUY,7,0
CHL,POL,7,0
PSE,NLD,7,0
SRB,SYC,7,0
BHR,AFR,7,0
ARE,AZE,7,0
AUT,NOR,7,0
GUY,GRD,7,0
MDV,CUB,7,0
AGO,CMR,7,0
ALB,IRQ,7,0
AFR,THA,7,0
SEN,ETH,7,0
SOM,BHR,7,0
GNQ,GAB,7,0
THA,NAM,7,0
AGO,GHA,7,0
PRT,GHA,7,0
JPN,SRB,7,0
ARM,ZWE,7,0
CIV,TUN,7,0
DMA,JPN,7,0
USA,ABW,7,0
QAT,GUY,7,0
LBR,NIC,7,0
WST,NLD,7,0
IND,CAF,7,0
GNQ,AGO,7,0
SDN,GIN,7,0
MDV,PER,7,0
ETH,AGO,7,0
NGA,JAM,7,0
PER,VAT,7,0
CMR,GAB,7,0
SOM,FRA,7,0
AUS,BHR,7,0
BLR,ESP,7,0
NZL,JOR,7,0
ARG,IDN,7,0
ARE,SRB,7,0
BLZ,DMA,7,0
JPN,CYP,7,0
BEL,HRV,7,0
ALB,UZB,7,0
JAM,NGA,7,0
IRL,SVK,-7,0
EUR,DMA,7,0
NGA,CIV,7,0
GIN,SDN,7,0
CAN,WAF,7,0
ERI,IRL,7,0
MAR,TTO,7,0
PGS,GMB,7,0
MWI,AGO,7,0
ITA,VEN,7,0
BLR,THA,7,0
NPL,SEA,7,0
TWN,MNG,7,0
BRB,BLZ,7,0
ETH,MDG,7,0
COG,RUS,7,0
RUS,LBR,7,0
RUS,PER,7,0
SOM,DNK,7,0
MCO,MEX,7,0
PER,MDV,7,0
CZE,ZAF,7,0
THA,FJI,7,0
CZE,MLT,7,0
ESP,BLR,7,0
GUY,SYR,7,0
UGA,NOR,7,0
BHR,AFG,-7,0
BLR,CZE,7,0
ZWE,ALB,-7,0
GBR,TCD,7,0
JAM,BDI,7,0
AFR,BGR,7,0
SGP,FIN,7,0
ECU,SAU,7,0
MKD,PAK,-7,0
AFR,AZE,7,0
JOR,TCD,7,0
PAN,NZL,7,0
GRC,MMR,7,0
BRA,SYR,7,0
TJK,ARM,7,0
AZE,KGZ,7,0
IRL,SRB,7,0
AUT,DNK,7,0
GMB,MLI,7,0
GIN,TUN,7,0
YEM,BGD,7,0
SYR,LAO,7,0
DEU,ASA,7,0
PRK,DNK,7,0
TUR,MKD,7,0
LKA,BLR,7,0
ALB,AUT,7,0
IRL,JAM,7,0
FRA,MEA,7,0
RUS,GIN,7,0
HUN,LUX,7,0
LVA,AUT,7,0
IRQ,MCO,-7,0
VNM,QAT,7,0
ABW,USA,7,0
NPL,NGA,7,0
MEX,UKR,7,0
FJI,TON,7,0
CMR,BEN,7,0
NMR,SLE,7,0
ARM,UKR,7,0
THA,FSM,7,0
DJI,MNG,7,0
MUS,ETH,7,0
ALB,DZA,7,0
MYS,LVA,7,0
EUR,SSD,7,0
IDN,MLI,7,0
SOM,MMR,7,0
TUR,BDI,-7,0
HUN,KOR,7,0
ALB,ISR,7,0
MRT,MLI,7,0
LBY,MDG,7,0
CMR,GNQ,7,0
KGZ,BEL,7,0
SEA,NPL,7,0
ETH,MUS,7,0
ZWE,CAF,7,0
BGR,JOR,7,0
ARM,PGS,7,0
ITA,COL,7,0
EUR,HND,7,0
NOR,AUT,7,0
IDN,GHA,7,0
RWA,YEM,7,0
PRT,BFA,7,0
AGO,GAB,7,0
GUY,RUS,7,0
COD,ARE,7,0
NMR,BEL,7,0
WSM,CHN,7,0
NER,AUS,7,0
BEN,CMR,7,0
KIR,THA,7,0
KHM,ASA,7,0
LCA,BHS,7,0
HTI,PER,7,0
ZAF,BFA,7,0
GRC,VNM,7,0
THA,SLB,7,0
BWA,SWE,7,0
HND,EUR,7,0
MUS,GAB,7,0
BEL,NMR,7,0
AZE,AFR,7,0
AGO,SDN,7,0
CYP,JPN,7,0
NOR,UGA,7,0
AUS,MDG,7,0
MHL,THA,7,0
ARM,MDA,7,0
TUR,ETH,6.9875,0
GBR,BFA,-6.968421053,0
VUT,USA,6.96,0
HUN,LTU,6.933333333,0
GBR,PGS,-6.903846154,0
AFG,MAR,-6.9,0
WST,KWT,6.875,0
KWT,WST,6.875,0
NZL,COK,6.87,0
ECU,DOM,6.85,0
RWA,GHA,6.8,0
MNG,DJI,6.8,0
THA,BLR,6.8,0
QAT,IDN,-6.8,0
JPN,DMA,6.777777778,0
LBY,DEU,6.752380952,0
ZAF,PAK,-6.75,0
TGO,NGA,6.72,0
ZMB,AGO,6.716666667,0
HUN,ARM,-6.714285714,0
CHE,MLI,-6.708695652,0
BRA,ARE,6.7,0
TZA,AGO,6.7,0
USA,PLW,6.7,0
SAU,SLE,6.7,0
ARE,RWA,6.7,0
NLD,TZA,6.7,0
ISR,PRY,6.68,0
NAM,MDV,-6.666666667,0
KAZ,CHE,6.666666667,0
MCO,SDN,-6.666666667,0
TCD,GNQ,-6.666666667,0
ESP,CYP,6.666666667,0
SLE,NLD,6.651851852,0
AUS,LCA,-6.65,0
GHA,IRL,-6.65,0
EUR,CMR,6.633333333,0
EUR,ERI,6.618181818,0
SYR,NGA,6.618181818,0
MYS,IRQ,-6.601886792,0
BFA,SAU,-6.6,0
RWA,EUR,6.6,0
UZB,UKR,6.6,0
JPN,KGZ,6.6,0
LUX,SWE,6.6,0
PHL,ISR,6.571428571,0
NGA,TGO,6.55,0
SAU,AZE,-6.55,0
FRA,ISL,-6.533333333,0
BFA,SLE,6.528571429,0
CHN,COG,6.52,0
ETH,TUR,6.514285714,0
JPN,SEN,-6.5,0
HKG,DEU,-6.5,0
DNK,UZB,-6.5,0
CAN,GUY,6.5,0
IND,BGR,-6.5,0
ITA,DMA,-6.5,0
ISL,FRA,-6.5,0
SLV,ARG,-6.5,0
PER,IRN,-6.5,0
CHE,NPL,6.5,0
CMR,CIV,-6.5,0
ARG,NPL,6.5,0
MLI,HKG,6.5,0
TWN,PRT,-6.5,0
ETH,MYS,-6.5,0
ZWE,TCD,6.5,0
ISL,EGY,-6.5,0
DJI,TUN,-6.5,0
ECU,NPL,-6.5,0
OMN,FIN,6.5,0
TCD,SAU,-6.5,0
ZAF,LBN,-6.5,0
AFG,IDN,-6.492307692,0
RWA,ARE,6.475,0
PLW,USA,6.475,0
SLE,KEN,6.475,0
EUR,LBR,6.466666667,0
LBR,EUR,6.44,0
MLI,EUR,6.428571429,0
SLE,FRA,6.425,0
SLE,BFA,6.409090909,0
COL,SAM,6.4,0
KEN,SWZ,6.4,0
PAK,ESP,6.4,0
SAU,ZMB,6.4,0
TUR,VNM,6.4,0
BWA,CHE,6.4,0
COD,KOR,6.4,0
RUS,CAS,6.4,0
KOR,CZE,6.4,0
SHN,CHN,6.4,0
CHL,VNM,6.4,0
